"season"	"week_num"	"day_of_week"	"gametime_local"	"home_team"	"away_team"	"home_score"	"away_score"	"OT_flag"	"arrests"	"division_game"
"918"	2014	17	"Sunday"	"1:00:00 PM"	"Tampa Bay"	"123New Orleans"	20	23	""	0	"y"
"920"	2015	4	"Sunday"	"1:00:00 PM"	"Tampa Bay"	"123Carolina"	23	37	""	0	"y"
"597"	2014	5	"Sunday"	"1:00:00 PM"	"New York Giants"	"Atlanta"	30	20	""	24	"n"
"627"	2013	1	"Sunday"	"1:00:00 PM"	"New York Jets"	"Tampa Bay"	18	17	""	17	"n"
"503"	2012	10	"Sunday"	"1:00:00 PM"	"Miami"	"Tennessee"	3	37	""	3	"n"
"880"	2015	3	"Sunday"	"1:25:00 PM"	"Seattle"	"Chicago"	26	0	""	0	"n"
"616"	2011	12	"Sunday"	"1:00:00 PM"	"New York Jets"	"Buffalo"	28	24	""	12	"y"
"165"	2013	14	"Sunday"	"1:00:00 PM"	"Cincinnati"	"Indianapolis"	42	28	""	1	"n"
"270"	2011	14	"Sunday"	"1:00:00 PM"	"Detroit"	"Minnesota"	34	28	""	NA	"y"
"354"	2012	6	"Sunday"	"6:20:00 PM"	"Houston"	"Green Bay"	24	42	""	4	"n"
"306"	2011	6	"Sunday"	"12:00:00 PM"	"Green Bay"	"St. Louis"	24	3	""	3	"n"
"670"	2013	8	"Sunday"	"1:05:00 PM"	"Oakland"	"Pittsburgh"	21	18	""	14	"n"
"55"	2013	16	"Sunday"	"4:25:00 PM"	"Baltimore"	"New England"	7	41	""	8	"n"
"342"	2015	14	"Sunday"	"3:25:00 PM"	"Green Bay"	"Dallas"	28	7	""	5	"n"
"621"	2012	5	"Monday"	"8:30:00 PM"	"New York Jets"	"Houston"	17	23	""	15	"n"
"144"	2011	3	"Sunday"	"1:02:00 PM"	"Cincinnati"	"San Francisco"	8	13	""	3	"n"
"25"	2014	1	"Monday"	"7:20:00 PM"	"Arizona"	"San Diego"	18	17	""	4	"n"
"382"	2015	14	"Sunday"	"7:30:00 PM"	"Houston"	"New England"	6	27	""	0	"n"
"585"	2012	14	"Sunday"	"4:25:00 PM"	"New York Giants"	"New Orleans"	52	27	""	14	"n"
"740"	2012	11	"Sunday"	"8:20:00 PM"	"Pittsburgh"	"Baltimore"	10	13	""	52	"y"
"923"	2015	10	"Sunday"	"1:00:00 PM"	"Tampa Bay"	"Dallas"	10	6	""	1	"n"
"686"	2015	15	"Sunday"	"1:05:00 PM"	"Oakland"	"Green Bay"	20	30	""	15	"n"
"494"	2015	5	"Sunday"	"12:00:00 PM"	"Kansas City"	"Chicago"	17	18	""	0	"n"
"411"	2014	7	"Sunday"	"1:00:00 PM"	"Indianapolis"	"Cincinnati"	27	0	""	5	"n"
"791"	2013	17	"Sunday"	"1:25:00 PM"	"San Diego"	"Kansas City"	27	24	"OT"	8	"y"
"995"	2014	11	"Sunday"	"1:00:00 PM"	"Washington"	"Tampa Bay"	7	27	""	0	"n"
"667"	2013	2	"Sunday"	"1:25:00 PM"	"Oakland"	"Jacksonville"	19	9	""	10	"n"
"974"	2011	16	"Saturday"	"1:00:00 PM"	"Washington"	"Minnesota"	26	33	""	2	"n"
"398"	2012	14	"Sunday"	"1:00:00 PM"	"Indianapolis"	"Tennessee"	27	23	""	1	"y"
"373"	2014	13	"Sunday"	"12:00:00 PM"	"Houston"	"Tennessee"	45	21	""	0	"y"
"645"	2015	6	"Sunday"	"1:00:00 PM"	"New York Jets"	"Washington"	34	20	""	28	"n"
"234"	2012	4	"Sunday"	"2:05:00 PM"	"Denver"	"Oakland"	37	6	""	4	"y"
"170"	2014	6	"Sunday"	"1:00:00 PM"	"Cincinnati"	"Carolina"	37	37	"OT"	1	"n"
"264"	2011	2	"Sunday"	"1:00:00 PM"	"Detroit"	"Kansas City"	48	3	""	NA	"n"
"765"	2015	10	"Sunday"	"1:00:00 PM"	"Pittsburgh"	"Cleveland"	30	9	""	7	"y"
"664"	2012	13	"Sunday"	"1:25:00 PM"	"Oakland"	"Cleveland"	17	20	""	7	"n"
"361"	2013	4	"Sunday"	"12:00:00 PM"	"Houston"	"Seattle"	20	23	"OT"	0	"n"
"30"	2014	11	"Sunday"	"2:25:00 PM"	"Arizona"	"Detroit"	14	6	""	6	"n"
"278"	2012	16	"Saturday"	"8:30:00 PM"	"Detroit"	"Atlanta"	18	31	""	NA	"n"
"807"	2015	15	"Sunday"	"1:25:00 PM"	"San Diego"	"Miami"	30	14	""	36	"n"
"598"	2014	9	"Monday"	"8:30:00 PM"	"New York Giants"	"Indianapolis"	24	40	""	20	"n"
"545"	2012	15	"Sunday"	"8:20:00 PM"	"New England"	"San Francisco"	34	41	""	7	"n"
"940"	2012	13	"Sunday"	"12:00:00 PM"	"Tennessee"	"Houston"	10	24	""	0	"y"
"915"	2014	10	"Sunday"	"1:00:00 PM"	"Tampa Bay"	"Atlanta"	17	27	""	0	"y"
"337"	2015	3	"Monday"	"7:30:00 PM"	"Green Bay"	"Kansas City"	38	28	""	4	"n"
"317"	2012	13	"Sunday"	"12:00:00 PM"	"Green Bay"	"Minnesota"	23	14	""	2	"y"
"53"	2013	13	"Thursday"	"8:30:00 PM"	"Baltimore"	"Pittsburgh"	22	20	""	5	"y"
"447"	2014	3	"Sunday"	"1:00:00 PM"	"Jacksonville"	"Indianapolis"	17	44	""	3	"y"
"33"	2015	1	"Sunday"	"1:05:00 PM"	"Arizona"	"New Orleans"	31	19	""	3	"n"
"151"	2011	17	"Sunday"	"4:16:00 PM"	"Cincinnati"	"Baltimore"	16	24	""	0	"y"
"738"	2012	8	"Sunday"	"1:00:00 PM"	"Pittsburgh"	"Washington"	27	12	""	23	"n"
"139"	2014	11	"Sunday"	"12:00:00 PM"	"Chicago"	"Minnesota"	21	13	""	2	"y"
"438"	2012	14	"Sunday"	"1:00:00 PM"	"Jacksonville"	"New York Jets"	10	17	""	1	"n"
"619"	2012	1	"Sunday"	"1:00:00 PM"	"New York Jets"	"Buffalo"	48	28	""	22	"y"
"505"	2012	13	"Sunday"	"1:00:00 PM"	"Miami"	"New England"	16	23	""	4	"y"
"174"	2014	14	"Sunday"	"1:00:00 PM"	"Cincinnati"	"Pittsburgh"	21	42	""	6	"y"
"968"	2011	2	"Sunday"	"1:00:00 PM"	"Washington"	"Arizona"	22	21	""	2	"n"
"226"	2011	5	"Sunday"	"2:15:00 PM"	"Denver"	"San Diego"	24	29	""	0	"y"
"907"	2013	10	"Monday"	"8:40:00 PM"	"Tampa Bay"	"Miami"	22	19	""	1	"n"
"150"	2011	16	"Sunday"	"1:02:00 PM"	"Cincinnati"	"Arizona"	23	16	""	0	"n"
"487"	2014	8	"Sunday"	"12:00:00 PM"	"Kansas City"	"St. Louis"	34	7	""	2	"n"
"186"	2011	7	"Sunday"	"3:15:00 PM"	"Dallas"	"St. Louis"	34	7	""	0	"n"
"12"	2012	6	"Sunday"	"1:05:00 PM"	"Arizona"	"Buffalo"	19	16	"OT"	1	"n"
"498"	2015	16	"Sunday"	"12:00:00 PM"	"Kansas City"	"Cleveland"	17	13	""	0	"n"
"436"	2012	10	"Thursday"	"8:20:00 PM"	"Jacksonville"	"Indianapolis"	10	27	""	0	"y"
"936"	2012	3	"Sunday"	"12:00:00 PM"	"Tennessee"	"Detroit"	44	41	"OT"	1	"n"
"2"	2011	4	"Sunday"	"1:05:00 PM"	"Arizona"	"New York Giants"	27	31	""	6	"n"
"845"	2015	12	"Sunday"	"1:05:00 PM"	"San Francisco"	"Arizona"	13	19	""	12	"y"
"100"	2014	9	"Thursday"	"8:25:00 PM"	"Carolina"	"New Orleans"	10	28	""	1	"y"
"196"	2012	12	"Thursday"	"3:25:00 PM"	"Dallas"	"Washington"	31	38	""	5	"y"
"589"	2013	7	"Monday"	"8:40:00 PM"	"New York Giants"	"Minnesota"	23	7	""	19	"n"
"692"	2011	10	"Sunday"	"1:00:00 PM"	"Philadelphia"	"Arizona"	17	21	""	2	"n"
"604"	2015	3	"Thursday"	"8:25:00 PM"	"New York Giants"	"Washington"	32	21	""	24	"y"
"888"	2011	1	"Sunday"	"1:00:00 PM"	"Tampa Bay"	"Detroit"	20	27	""	0	"n"
"556"	2014	5	"Sunday"	"8:30:00 PM"	"New England"	"Cincinnati"	43	17	""	7	"n"
"617"	2011	14	"Sunday"	"1:00:00 PM"	"New York Jets"	"Kansas City"	37	10	""	14	"n"
"815"	2011	15	"Monday"	"5:30:00 PM"	"San Francisco"	"Pittsburgh"	20	3	""	10	"n"
"574"	2011	8	"Sunday"	"1:00:00 PM"	"New York Giants"	"Miami"	20	17	""	23	"n"
"804"	2015	9	"Monday"	"5:30:00 PM"	"San Diego"	"Chicago"	19	22	""	17	"n"
"630"	2013	7	"Sunday"	"1:00:00 PM"	"New York Jets"	"New England"	30	27	"OT"	29	"y"
"247"	2013	15	"Thursday"	"6:25:00 PM"	"Denver"	"San Diego"	20	27	""	3	"y"
"265"	2011	5	"Monday"	"8:30:00 PM"	"Detroit"	"Chicago"	24	13	""	NA	"y"
"83"	2012	7	"Sunday"	"1:00:00 PM"	"Carolina"	"Dallas"	14	19	""	4	"n"
"792"	2014	2	"Sunday"	"1:05:00 PM"	"San Diego"	"Seattle"	30	21	""	20	"n"
"215"	2014	16	"Sunday"	"3:25:00 PM"	"Dallas"	"Indianapolis"	42	7	""	1	"n"
"105"	2015	3	"Sunday"	"1:00:00 PM"	"Carolina"	"New Orleans"	27	22	""	0	"y"
"756"	2014	9	"Sunday"	"8:30:00 PM"	"Pittsburgh"	"Baltimore"	43	23	""	25	"y"
"768"	2011	1	"Sunday"	"1:15:00 PM"	"San Diego"	"Minnesota"	24	17	""	15	"n"
"900"	2012	12	"Sunday"	"1:00:00 PM"	"Tampa Bay"	"Atlanta"	23	24	""	2	"y"
"177"	2015	4	"Sunday"	"1:00:00 PM"	"Cincinnati"	"Kansas City"	36	21	""	1	"n"
"647"	2015	10	"Thursday"	"8:25:00 PM"	"New York Jets"	"Buffalo"	17	22	""	44	"y"
"260"	2015	12	"Sunday"	"6:30:00 PM"	"Denver"	"New England"	30	24	"OT"	3	"n"
"28"	2014	8	"Sunday"	"1:05:00 PM"	"Arizona"	"Philadelphia"	24	20	""	2	"n"
"425"	2011	4	"Sunday"	"1:00:00 PM"	"Jacksonville"	"New Orleans"	10	23	""	4	"n"
"795"	2014	7	"Sunday"	"1:05:00 PM"	"San Diego"	"Kansas City"	20	23	""	19	"y"
"849"	2011	4	"Sunday"	"1:05:00 PM"	"Seattle"	"Atlanta"	28	30	""	0	"n"
"440"	2013	1	"Sunday"	"1:00:00 PM"	"Jacksonville"	"Kansas City"	2	28	""	3	"n"
"524"	2015	3	"Sunday"	"4:25:00 PM"	"Miami"	"Buffalo"	14	41	""	5	"y"
"554"	2013	17	"Sunday"	"4:25:00 PM"	"New England"	"Buffalo"	34	20	""	4	"y"
"379"	2015	8	"Sunday"	"12:00:00 PM"	"Houston"	"Tennessee"	20	6	""	0	"y"
"736"	2012	2	"Sunday"	"4:25:00 PM"	"Pittsburgh"	"New York Jets"	27	10	""	25	"n"
"344"	2011	1	"Sunday"	"12:00:00 PM"	"Houston"	"Indianapolis"	34	7	""	2	"y"
"353"	2012	4	"Sunday"	"12:00:00 PM"	"Houston"	"Tennessee"	38	14	""	1	"y"
"778"	2012	6	"Monday"	"5:30:00 PM"	"San Diego"	"Denver"	24	35	""	45	"y"
"463"	2011	8	"Monday"	"7:30:00 PM"	"Kansas City"	"San Diego"	23	20	"OT"	2	"y"
"251"	2014	7	"Sunday"	"6:30:00 PM"	"Denver"	"San Francisco"	42	17	""	6	"n"
"459"	2015	14	"Sunday"	"1:00:00 PM"	"Jacksonville"	"Indianapolis"	51	16	""	2	"y"
"794"	2014	5	"Sunday"	"1:25:00 PM"	"San Diego"	"New York Jets"	31	0	""	18	"n"
"622"	2012	6	"Sunday"	"1:00:00 PM"	"New York Jets"	"Indianapolis"	35	9	""	10	"n"
"561"	2014	15	"Sunday"	"1:00:00 PM"	"New England"	"Miami"	41	13	""	6	"y"
"676"	2014	6	"Sunday"	"1:05:00 PM"	"Oakland"	"San Diego"	28	31	""	30	"y"
"925"	2015	14	"Sunday"	"1:00:00 PM"	"Tampa Bay"	"New Orleans"	17	24	""	1	"y"
"536"	2011	13	"Sunday"	"1:00:00 PM"	"New England"	"Indianapolis"	31	24	""	6	"n"
"286"	2013	15	"Monday"	"8:40:00 PM"	"Detroit"	"Baltimore"	16	18	""	NA	"n"
"414"	2014	13	"Sunday"	"1:00:00 PM"	"Indianapolis"	"Washington"	49	27	""	4	"n"
"863"	2012	17	"Sunday"	"1:26:00 PM"	"Seattle"	"St. Louis"	20	13	""	0	"y"
"606"	2015	7	"Sunday"	"4:25:00 PM"	"New York Giants"	"Dallas"	27	20	""	35	"y"
"385"	2011	3	"Sunday"	"8:20:00 PM"	"Indianapolis"	"Pittsburgh"	20	23	""	11	"n"
"156"	2012	10	"Sunday"	"1:00:00 PM"	"Cincinnati"	"New York Giants"	31	13	""	4	"n"
"207"	2013	17	"Sunday"	"7:30:00 PM"	"Dallas"	"Philadelphia"	22	24	""	9	"y"
"263"	2015	17	"Sunday"	"2:25:00 PM"	"Denver"	"San Diego"	27	20	""	0	"y"
"548"	2013	3	"Sunday"	"1:00:00 PM"	"New England"	"Tampa Bay"	23	3	""	1	"n"
"729"	2011	5	"Sunday"	"1:00:00 PM"	"Pittsburgh"	"Tennessee"	38	17	""	19	"n"
"333"	2014	13	"Sunday"	"3:25:00 PM"	"Green Bay"	"New England"	26	21	""	8	"n"
"582"	2012	7	"Sunday"	"1:00:00 PM"	"New York Giants"	"Washington"	27	23	""	16	"y"
"595"	2014	2	"Sunday"	"1:00:00 PM"	"New York Giants"	"Arizona"	14	25	""	16	"n"
"107"	2015	8	"Monday"	"8:30:00 PM"	"Carolina"	"Indianapolis"	29	26	"OT"	6	"n"
"369"	2014	4	"Sunday"	"12:00:00 PM"	"Houston"	"Buffalo"	23	17	""	0	"n"
"404"	2013	10	"Sunday"	"1:00:00 PM"	"Indianapolis"	"St. Louis"	8	38	""	1	"n"
"412"	2014	11	"Sunday"	"8:30:00 PM"	"Indianapolis"	"New England"	20	42	""	3	"n"
"665"	2012	14	"Thursday"	"5:20:00 PM"	"Oakland"	"Denver"	13	26	""	24	"y"
"395"	2012	7	"Sunday"	"1:00:00 PM"	"Indianapolis"	"Cleveland"	17	13	""	2	"n"
"155"	2012	9	"Sunday"	"1:00:00 PM"	"Cincinnati"	"Denver"	23	31	""	2	"n"
"655"	2011	9	"Sunday"	"1:05:00 PM"	"Oakland"	"Denver"	24	38	""	28	"y"
"236"	2012	11	"Sunday"	"2:25:00 PM"	"Denver"	"San Diego"	36	14	""	0	"y"
"405"	2013	13	"Sunday"	"1:00:00 PM"	"Indianapolis"	"Tennessee"	22	14	""	3	"y"
"235"	2012	8	"Sunday"	"6:20:00 PM"	"Denver"	"New Orleans"	34	14	""	0	"n"
"248"	2014	1	"Sunday"	"6:30:00 PM"	"Denver"	"Indianapolis"	31	24	""	1	"n"
"331"	2014	10	"Sunday"	"7:30:00 PM"	"Green Bay"	"Chicago"	55	14	""	15	"y"
"829"	2013	13	"Sunday"	"1:05:00 PM"	"San Francisco"	"St. Louis"	23	13	""	3	"y"
"471"	2012	5	"Sunday"	"12:00:00 PM"	"Kansas City"	"Baltimore"	6	9	""	0	"n"
"872"	2014	1	"Thursday"	"5:42:00 PM"	"Seattle"	"Green Bay"	36	16	""	0	"n"
"82"	2012	5	"Sunday"	"4:05:00 PM"	"Carolina"	"Seattle"	12	16	""	1	"n"
"599"	2014	11	"Sunday"	"1:00:00 PM"	"New York Giants"	"San Francisco"	10	16	""	23	"n"
"981"	2012	14	"Sunday"	"1:00:00 PM"	"Washington"	"Baltimore"	31	28	"OT"	4	"n"
"707"	2013	8	"Sunday"	"1:00:00 PM"	"Philadelphia"	"New York Giants"	7	15	""	18	"y"
"356"	2012	9	"Sunday"	"12:00:00 PM"	"Houston"	"Buffalo"	21	9	""	1	"n"
"921"	2015	5	"Sunday"	"1:00:00 PM"	"Tampa Bay"	"Jacksonville"	38	31	""	1	"n"
"735"	2011	16	"Saturday"	"1:00:00 PM"	"Pittsburgh"	"St. Louis"	27	0	""	10	"n"
"17"	2013	2	"Sunday"	"1:05:00 PM"	"Arizona"	"Detroit"	25	21	""	7	"n"
"283"	2013	8	"Sunday"	"1:00:00 PM"	"Detroit"	"Dallas"	31	30	""	NA	"n"
"172"	2014	9	"Sunday"	"1:00:00 PM"	"Cincinnati"	"Jacksonville"	33	23	""	1	"n"
"988"	2013	13	"Sunday"	"8:30:00 PM"	"Washington"	"New York Giants"	17	24	""	2	"y"
"969"	2011	6	"Sunday"	"1:00:00 PM"	"Washington"	"Philadelphia"	13	20	""	1	"y"
"199"	2012	16	"Sunday"	"12:00:00 PM"	"Dallas"	"New Orleans"	31	34	"OT"	0	"n"
"88"	2013	1	"Sunday"	"1:00:00 PM"	"Carolina"	"Seattle"	7	12	""	1	"n"
"702"	2012	15	"Thursday"	"8:20:00 PM"	"Philadelphia"	"Cincinnati"	13	34	""	1	"n"
"119"	2011	15	"Sunday"	"12:00:00 PM"	"Chicago"	"Seattle"	14	38	""	1	"n"
"977"	2012	6	"Sunday"	"4:25:00 PM"	"Washington"	"Minnesota"	38	26	""	3	"n"
"322"	2013	7	"Sunday"	"3:25:00 PM"	"Green Bay"	"Cleveland"	31	13	""	6	"n"
"287"	2013	16	"Sunday"	"1:00:00 PM"	"Detroit"	"New York Giants"	20	23	"OT"	NA	"n"
"1005"	2015	13	"Monday"	"8:30:00 PM"	"Washington"	"Dallas"	16	19	""	4	"y"
"229"	2011	14	"Sunday"	"2:05:00 PM"	"Denver"	"Chicago"	13	10	"OT"	0	"n"
"469"	2012	1	"Sunday"	"12:00:00 PM"	"Kansas City"	"Atlanta"	24	40	""	0	"n"
"831"	2013	16	"Monday"	"5:40:00 PM"	"San Francisco"	"Atlanta"	34	24	""	0	"n"
"870"	2013	16	"Sunday"	"1:06:00 PM"	"Seattle"	"Arizona"	10	17	""	1	"y"
"266"	2011	6	"Sunday"	"1:00:00 PM"	"Detroit"	"San Francisco"	19	25	""	NA	"n"
"612"	2011	2	"Sunday"	"1:00:00 PM"	"New York Jets"	"Jacksonville"	32	3	""	23	"n"
"575"	2011	11	"Sunday"	"8:20:00 PM"	"New York Giants"	"Philadelphia"	10	17	""	26	"y"
"643"	2015	1	"Sunday"	"1:00:00 PM"	"New York Jets"	"Cleveland"	31	10	""	7	"n"
"153"	2012	5	"Sunday"	"1:00:00 PM"	"Cincinnati"	"123Miami"	13	17	""	0	"n"
"862"	2012	16	"Sunday"	"5:31:00 PM"	"Seattle"	"123San Francisco"	42	13	""	4	"y"
"941"	2012	15	"Monday"	"7:30:00 PM"	"Tennessee"	"123New York Jets"	14	10	""	4	"n"
"901"	2012	14	"Sunday"	"1:00:00 PM"	"Tampa Bay"	"123Philadelphia"	21	23	""	1	"n"
"323"	2013	9	"Monday"	"7:40:00 PM"	"Green Bay"	"Chicago"	20	27	""	13	"y"
"588"	2013	5	"Sunday"	"1:00:00 PM"	"New York Giants"	"Philadelphia"	21	36	""	12	"y"
"522"	2014	16	"Sunday"	"1:00:00 PM"	"Miami"	"Minnesota"	37	35	""	2	"n"
"162"	2013	5	"Sunday"	"1:00:00 PM"	"Cincinnati"	"New England"	13	6	""	0	"n"
"906"	2013	8	"Thursday"	"8:25:00 PM"	"Tampa Bay"	"Carolina"	13	31	""	0	"y"
"982"	2012	17	"Sunday"	"8:20:00 PM"	"Washington"	"Dallas"	28	18	""	7	"y"
"759"	2014	17	"Sunday"	"8:30:00 PM"	"Pittsburgh"	"Cincinnati"	27	17	""	17	"y"
"211"	2014	7	"Sunday"	"3:25:00 PM"	"Dallas"	"New York Giants"	31	21	""	3	"y"
"774"	2011	14	"Sunday"	"1:15:00 PM"	"San Diego"	"Buffalo"	37	10	""	30	"n"
"723"	2015	10	"Sunday"	"1:00:00 PM"	"Philadelphia"	"Miami"	19	20	""	2	"n"
"550"	2013	8	"Sunday"	"1:00:00 PM"	"New England"	"Miami"	27	17	""	1	"y"
"152"	2012	2	"Sunday"	"1:00:00 PM"	"Cincinnati"	"Cleveland"	34	27	""	3	"y"
"615"	2011	10	"Sunday"	"8:20:00 PM"	"New York Jets"	"New England"	16	37	""	30	"y"
"250"	2014	5	"Sunday"	"2:05:00 PM"	"Denver"	"Arizona"	41	20	""	7	"n"
"781"	2012	13	"Sunday"	"1:25:00 PM"	"San Diego"	"Cincinnati"	13	20	""	19	"n"
"249"	2014	2	"Sunday"	"2:25:00 PM"	"Denver"	"Kansas City"	24	17	""	1	"y"
"551"	2013	9	"Sunday"	"4:25:00 PM"	"New England"	"Pittsburgh"	55	31	""	2	"n"
"771"	2011	9	"Sunday"	"1:15:00 PM"	"San Diego"	"Green Bay"	38	45	""	30	"n"
"871"	2013	17	"Sunday"	"1:26:00 PM"	"Seattle"	"St. Louis"	27	9	""	1	"y"
"37"	2015	11	"Sunday"	"6:30:00 PM"	"Arizona"	"Cincinnati"	34	31	""	2	"n"
"895"	2012	1	"Sunday"	"4:25:00 PM"	"Tampa Bay"	"Carolina"	16	10	""	1	"y"
"658"	2011	17	"Sunday"	"1:15:00 PM"	"Oakland"	"San Diego"	26	38	""	19	"y"
"609"	2015	15	"Sunday"	"1:00:00 PM"	"New York Giants"	"Carolina"	35	38	""	31	"n"
"65"	2015	5	"Sunday"	"1:02:00 PM"	"Baltimore"	"Cleveland"	30	33	"OT"	3	"y"
"445"	2013	15	"Sunday"	"1:00:00 PM"	"Jacksonville"	"Buffalo"	20	27	""	0	"n"
"899"	2012	10	"Sunday"	"1:00:00 PM"	"Tampa Bay"	"San Diego"	34	24	""	1	"n"
"243"	2013	6	"Sunday"	"2:05:00 PM"	"Denver"	"Jacksonville"	35	19	""	5	"n"
"762"	2015	6	"Sunday"	"1:00:00 PM"	"Pittsburgh"	"Arizona"	25	13	""	8	"n"
"116"	2011	10	"Sunday"	"3:15:00 PM"	"Chicago"	"Detroit"	37	13	""	0	"y"
"95"	2013	16	"Sunday"	"1:00:00 PM"	"Carolina"	"New Orleans"	17	13	""	1	"y"
"347"	2011	8	"Sunday"	"12:00:00 PM"	"Houston"	"Jacksonville"	24	14	""	0	"y"
"661"	2012	7	"Sunday"	"1:25:00 PM"	"Oakland"	"Jacksonville"	26	23	"OT"	16	"n"
"515"	2013	17	"Sunday"	"1:00:00 PM"	"Miami"	"New York Jets"	7	20	""	3	"y"
"865"	2013	3	"Sunday"	"1:26:00 PM"	"Seattle"	"Jacksonville"	45	17	""	1	"n"
"786"	2013	6	"Monday"	"5:40:00 PM"	"San Diego"	"Indianapolis"	24	6	""	13	"n"
"690"	2011	8	"Sunday"	"8:20:00 PM"	"Philadelphia"	"Dallas"	34	7	""	5	"y"
"244"	2013	8	"Sunday"	"2:25:00 PM"	"Denver"	"123Washington"	45	21	""	2	"n"
"695"	2011	17	"Sunday"	"1:00:00 PM"	"Philadelphia"	"123Washington"	34	10	""	2	"y"
"307"	2011	10	"Monday"	"7:30:00 PM"	"Green Bay"	"123Minnesota"	45	7	""	6	"y"
"720"	2015	2	"Sunday"	"4:25:00 PM"	"Philadelphia"	"123Dallas"	10	20	""	5	"y"
"388"	2011	10	"Sunday"	"1:00:00 PM"	"Indianapolis"	"Jacksonville"	3	17	""	0	"y"
"227"	2011	8	"Sunday"	"2:05:00 PM"	"Denver"	"Detroit"	10	45	""	0	"n"
"3"	2011	7	"Sunday"	"1:05:00 PM"	"Arizona"	"Pittsburgh"	20	32	""	9	"n"
"557"	2014	7	"Thursday"	"8:30:00 PM"	"New England"	"123New York Jets"	27	25	""	7	"y"
"109"	2015	11	"Sunday"	"1:00:00 PM"	"Carolina"	"123Washington"	33	14	""	3	"n"
"847"	2015	17	"Sunday"	"1:25:00 PM"	"San Francisco"	"St. Louis"	19	16	"OT"	18	"y"
"372"	2014	12	"Sunday"	"12:00:00 PM"	"Houston"	"Cincinnati"	13	22	""	1	"n"
"961"	2015	6	"Sunday"	"12:00:00 PM"	"Tennessee"	"123Miami"	10	38	""	3	"n"
"427"	2011	7	"Monday"	"8:30:00 PM"	"Jacksonville"	"Baltimore"	12	7	""	3	"n"
"90"	2013	7	"Sunday"	"1:00:00 PM"	"Carolina"	"St. Louis"	30	15	""	1	"n"
"637"	2014	4	"Sunday"	"1:00:00 PM"	"New York Jets"	"Detroit"	17	24	""	22	"n"
"989"	2013	14	"Sunday"	"1:00:00 PM"	"Washington"	"Kansas City"	10	45	""	0	"n"
"922"	2015	9	"Sunday"	"4:05:00 PM"	"Tampa Bay"	"New York Giants"	18	32	""	0	"n"
"533"	2011	6	"Sunday"	"4:15:00 PM"	"New England"	"123Dallas"	20	16	""	7	"n"
"45"	2011	11	"Sunday"	"1:00:00 PM"	"Baltimore"	"123Cincinnati"	31	24	""	2	"y"
"240"	2013	1	"Thursday"	"6:30:00 PM"	"Denver"	"123Baltimore"	49	27	""	5	"n"
"374"	2014	16	"Sunday"	"12:00:00 PM"	"Houston"	"Baltimore"	25	13	""	0	"n"
"618"	2011	16	"Saturday"	"1:00:00 PM"	"New York Jets"	"123New York Giants"	14	29	""	31	"n"
"43"	2011	6	"Sunday"	"4:05:00 PM"	"Baltimore"	"Houston"	29	14	""	0	"n"
"710"	2013	14	"Sunday"	"1:00:00 PM"	"Philadelphia"	"Detroit"	34	20	""	10	"n"
"917"	2014	16	"Sunday"	"1:00:00 PM"	"Tampa Bay"	"Green Bay"	3	20	""	1	"n"
"946"	2013	7	"Sunday"	"3:05:00 PM"	"Tennessee"	"San Francisco"	17	31	""	3	"n"
"71"	2015	16	"Sunday"	"1:00:00 PM"	"Baltimore"	"123Pittsburgh"	20	17	""	4	"y"
"868"	2013	11	"Sunday"	"1:26:00 PM"	"Seattle"	"Minnesota"	41	10	""	0	"n"
"222"	2015	15	"Saturday"	"7:25:00 PM"	"Dallas"	"New York Jets"	16	19	""	4	"n"
"339"	2015	6	"Sunday"	"3:25:00 PM"	"Green Bay"	"San Diego"	27	20	""	13	"n"
"239"	2012	17	"Sunday"	"2:25:00 PM"	"Denver"	"Kansas City"	38	3	""	0	"y"
"253"	2014	12	"Sunday"	"2:25:00 PM"	"Denver"	"123Miami"	39	36	""	1	"n"
"386"	2011	5	"Sunday"	"1:00:00 PM"	"Indianapolis"	"Kansas City"	24	28	""	0	"n"
"833"	2014	4	"Sunday"	"1:25:00 PM"	"San Francisco"	"Philadelphia"	26	21	""	20	"n"
"867"	2013	9	"Sunday"	"1:05:00 PM"	"Seattle"	"Tampa Bay"	27	24	"OT"	2	"n"
"359"	2012	16	"Sunday"	"12:00:00 PM"	"Houston"	"Minnesota"	6	23	""	3	"n"
"958"	2014	17	"Sunday"	"12:00:00 PM"	"Tennessee"	"Indianapolis"	10	27	""	3	"y"
"96"	2014	2	"Sunday"	"1:00:00 PM"	"Carolina"	"Detroit"	24	7	""	1	"n"
"861"	2012	14	"Sunday"	"1:26:00 PM"	"Seattle"	"Arizona"	58	0	""	2	"y"
"520"	2014	11	"Thursday"	"8:25:00 PM"	"Miami"	"Buffalo"	22	9	""	4	"y"
"724"	2015	11	"Sunday"	"1:00:00 PM"	"Philadelphia"	"Tampa Bay"	17	45	""	0	"n"
"853"	2011	13	"Thursday"	"5:20:00 PM"	"Seattle"	"Philadelphia"	31	14	""	1	"n"
